product,hundred energy (kcal),hundred protein (g),hundred total fat (g),hundred saturated fat (g),hundred trans fat (g),hundred carbohydrate (g),hundred dietary fiber (g),hundred sugars (g),hundred sodium (mg),per serve,serve energy (kcal),serve protein (g),serve total fat (g),serve saturated fat (g),serve trans fat (g),serve carbohydrate (g),serve dietary fiber (g),serve sugars (g),serve sodium (mg)
BP_26618,334,76.9,1.8,0,0,3.3,,0,22,,,,,,,,,,
BP_26621,305,63.7,2.8,0,0,6.2,,0,2032,,,,,,,,,,
BP_26643,305,63.7,2.8,0,0,6.2,,0,2032,,,,,,,,,,
BP_26666,305,63.7,2.8,0,0,6.2,,0,2032,,,,,,,,,,
BP_26667,343,83.2,1.1,0,0,0,,0,60,,,,,,,,,,
BP_26670,267,63.3,1.5,0,0,0,,0,5525,,,,,,,,,,
BP_26687,77,15.8,0,0,0,2.2,,0,145,,,,,,,,,,
BP_26704,189,20.2,0.5,0,0,60.8,,0,100.7,,,,,,,,,,
BP_280704,,,,,,,,,,35g,128,7.1,0.7,0.5,0,23.3,,13.9,96.3
BP_286586,370,23.7,2.7,1.6,0,62.7,,43.8,321,30g,110,7.1,0.8,0.5,0,18.8,,13.1,96
BP_289982,349,25.5,5,1.4,0,46.3,,42.9,340,35g,122,8.9,0.8,0.5,0,16.2,,15,120
BP_300068,,,,,,,,,,55g,265,9.07,15.18,2.1,0,22.99,,22.27,1540
BP_300364,,,,,,,,,,67g,237,3.9,0.4,0,0,54.3,0,0,44
BP_300475,81,0,0,0,0,18,1.2,17,0,140g,113,0.6,0.1,0,0,25.2,1.7,23.8,7
BP_301344,25,0,0,0,0,6.2,,6.2,30,,,,,,,,,,
BP_301998,36,0,0,0,0,8.5,,8.5,20,,,,,,,,,,
BP_302255,,,,,,,,,,100ml,26,0,0,0,0,6.5,,6,10
BP_302353,394,0,0,0,0,98.6,,98.6,6,,,,,,,,,,
BP_302355,390,0,0,0,0,97.4,,97.3,12,,,,,,,,,,
BP_302356,400,0,0,0,0,99.8,,99.2,0,,,,,,,,,,
BP_302565,,,,,,,,,,18.6g,25,0.9,0,0,0,5.6,0.4,4.2,1127
BP_302566,,,,,,,,,,18g,38,0.4,1.9,0.3,0,5.6,1,2.3,882
BP_302971,816,8.1,8,1.3,0,25.2,2.6,1.3,367,,,,,,,,,,
BP_302972,774,7.9,8.1,1.3,0,22.6,2.5,0.8,377,,,,,,,,,,
BP_304328,341.8,11,7.2,1,0,58.3,6.5,1.3,0,35g,119.6,3.9,2.5,0.4,0,20.4,2.3,0.5,0
BP_305085,,,,,,,,,,5g,14,0.4,1.1,0.8,0,0.7,0,0.6,1004
BP_30514,179,7.4,10.7,4.5,0,13.3,,3.3,750,,,,,,,,,,
