product,hundred energy (kcal),hundred protein (g),hundred total fat (g),hundred saturated fat (g),hundred trans fat (g),hundred carbohydrate (g),hundred dietary fiber (g),hundred sugars (g),hundred sodium (mg),per serve,serve energy (kcal),serve protein (g),serve total fat (g),serve saturated fat (g),serve trans fat (g),serve carbohydrate (g),serve dietary fiber (g),serve sugars (g),serve sodium (mg)
BP_40931,103,15,3.1,0.9,0,3.5,0,0,270,60g,61,9,1.86,0.54,0,2.1,0,0,162
BP_409981,,,,,,,,,,112g,506,9.6,24.1,9.4,0,62.7,,8.6,1344
BP_410257,,,,,,,,,,90g,42,5.3,0,0,0,5.3,,4.9,639
BP_410292,,,,,,,,,,160g,505,10,23,12,0,65,,2,1020
BP_410574,189,19.2,8.2,1.8,0,12.5,,9.4,562,,,,,,,,,,
BP_410779,121,2.1,2.1,0,0,27,2.1,19,,5 ml,,,,,,,,,
BP_411024,360,7,0.5,0,0,81,0.54,0,10,,,,,,,,,,
BP_411025,360,7,1,0,0,80,0.53,0,10,,,,,,,,,,
BP_411027,,,,,,,,,,90g,37,4.5,0,0,0,4.8,,1.9,792
BP_411028,,,,,,,,,,5g,10,0,0,0,0,5,,0.5,0
BP_411037,,,,,,,,,,97g,363,9.7,3.4,1,0,72,,4,1880
BP_411353,,,,,,,,,,35g,13,0.7,0.2,0,0,2,1.4,0,760
BP_411354,,,,,,,,,,30g,76,2,8,1,0,1,1,2,180
BP_411367,480,7.6,25,12.4,0,58,1.8,14.8,91,,,,,,,,,,
BP_411777,61,0,0,0,0,15.1,,13.9,8,,,,,,,,,,
BP_411889,,,,,,,,,,7g,40,0.3,2.6,1.5,0,4,,2.6,20
BP_412230,,,,,,,,,,230g,160,0.3,0.1,0,0,39.6,,37.7,79
BP_412345,0,0,0,0,0,0,,0,0,,,,,,,,,,
BP_412392,,,,,,,,,,10 g,14,0.5,0,0,0,2.9,,2.1,438
BP_412394,,,,,,,,,,15ml,120,0,14,2,0.2,0,0,0,0
BP_412395,,,,,,,,,,15ml,120,0,14,1,0.2,0,0,0,0
BP_413060,834,0,92.7,21.8,0,0,,0,0,,,,,,,,,,
BP_413274,,,,,,,,,,114 g,503,11.3,24.4,10.5,0,59.6,,4.2,1392
BP_413275,,,,,,,,,,75g,344,8.2,17,8,0,39.5,,5.1,1290
BP_413333,,,,,,,,,,280g,555,8.4,7.5,2.6,0,24.3,,2,404
BP_413441,354,6.5,0.8,0,0,78.4,,78.1,0,,,,,,,,,,
BP_413493,,,,,,,,,,250ml,120,0,0,0,0,30,,26,25
BP_413646,9,0.7,0.1,0,0,1.4,,1.2,787,,,,,,,,,,
BP_413710,0,0,0,0,0,0,,0,27,,,,,,,,,,
BP_414148,,,,,,,,,,41g,179,4.1,3.3,3.4,0,22,,2,983
BP_414159,356,13.3,14.1,2.4,0,29.9,,2.1,62,,,,,,,,,,
BP_415605,,,,,,,,,,,,,,,,,,,
BP_415837,,,,,,,,,,16.6g,27,0.3,1.8,0.1,0,25,0.2,1.8,814
BP_415936,,,,,,,,,,230g,205,0.3,3.6,3.5,0.1,42,,41,79
BP_416081,,,,,,,,,,10g,10,0.1,0,0,0,2.3,,1.8,315
BP_416621,,,,,,,,,,15ml,120,0,14,2,0,0,0,0,0
BP_416623,,,,,,,,,,15ml,120,0,14,3.4,0,0,0,0,0
BP_416638,,,,,,,,,,46 g,156,2.6,10.1,1.7,0,13.7,,11.5,975
BP_416639,,,,,,,,,,10 g,16,0.2,0.4,0.1,0,2.8,,2.7,256
BP_417130,493,8.6,20.9,,,67.6,3.1,7.3,860,85g,419,7.3,17.8,,,57.43,2.6,6.2,731
BP_417195,192,10,12,3,0,11,,1,767,,,,,,,,,,
BP_417303,320,4.9,0.2,0,0,74.6,,55,32,,,,,,,,,,
BP_418037,821,0,91.1,14.2,0,0,0,0,0,,,,,,,,,,
BP_418131,475,21.7,32.8,11.2,0,23.3,0,22.6,1221,,,,,,,,,,
BP_418132,493,20.1,34,11.6,0,26.6,0,23.5,1232,,,,,,,,,,
BP_418236,31,0,0,0,0,7.4,,7.4,17,,,,,,,,,,
BP_418690,,,,,,,,,,,,,,,,,,,
BP_420055,,,,,,,,,,,389,2.6,23.2,11.2,0.127,42.4,,21.4,115
BP_420104,47,1.8,1.5,0.4,0,6.6,,6.5,40,,,,,,,,,,
BP_420239,233,12.8,17.3,6.8,0,6.5,1.2,1,842,100 g,233,12.8,17.3,6.8,0,6.5,1.2,1,842
BP_420240,166,16.6,9.5,3.1,0,3.5,2.2,0,532,100g,166,16.6,9.5,3.1,0,3.5,2.2,0,532
BP_420576,,,,,,,,,,39g,190,3,9,5,0,26,2,12,115
BP_420578,,,,,,,,,,32g,170,4,10,5,0,17,1,12,100
BP_420579,,,,,,,,,,106 g,44,6.1,0,0,0,4.9,,2.2,816
BP_420785,400,0,0,0,0,100,0,100,0,,,,,,,,,,
BP_421116,0,0,0,0,0,0,,0,3.12,,,,,,,,,,
BP_421128,510,23.3,28.8,20,1.4,38.8,,36.7,300,,,,,,,,,,
BP_421165,448,3.7,15.4,11.5,0,73.6,5.8,17.4,35,30g,134,1.1,4.6,3.5,0,22.1,1.7,5.2,11
BP_421349,46,0.1,0.1,0,0,10.8,0.2,10.3,0,,,,,,,,,,
BP_421467,37,0,8,0,0,8,,8,52,,,,,,,,,,
BP_421524,,,,,,,,,,140g,530,12,16,8,0,85,,7,1280
BP_421532,,,,,,,,,,105g,425,9,15,8,0,63,,8,950
BP_422043,0,0,0,0,0,0,,0,23,,,,,,,,,,
BP_422253,46,1.4,1.5,0,0,8,1.3,5.3,246,,,,,,,,,,
BP_422267,112,1.6,0,0,0,27.9,1.6,23,1300,,,,,,,,,,
BP_422627,,,,,,,,,,75g,352,8.7,17,7.7,0,41,,2.9,1214
BP_422682,,,,,,,,,,90g,43,4.3,0,0,0,6.4,,4.7,468
BP_422873,,,,,,,,,,15ml,120,0,14,1,0,0,0,0,0
BP_422908,52,1.5,0.2,0.1,0,10.3,,6.6,672,,,,,,,,,,
BP_423981,610,0.6,64,10.2,1.9,10.3,0,9.8,561,,,,,,,,,,
BP_424073,28,0,0,0,0,1.7,,0,0,,,,,,,,,,
BP_424312,38,0,0,0,0,8.6,,8.5,40,,,,,,,,,,
BP_424891,365,12,0.6,0,0,78,,1,115,,,,,,,,,,
BP_424904,150,9.6,3.8,0.2,0.2,0.1,,0.1,490,,,,,,,,,,
BP_424905,238,11.4,18.5,5.3,0,6.5,,0,1025,340g,809,38.8,62.9,18,0,22.1,,0,3485
BP_426146,283,13.5,4.1,1,0,46.8,2.8,16.5,,,,,,,,,,,
BP_426147,298,18.2,5.1,2.5,,41.6,6.5,9.6,,,,,,,,,,,
BP_426729,,,,,,,,,,75g,311,7.6,12.1,7.8,0,43,,4.9,2318
BP_426802,,,,,,,,,,10 g,26,1.5,1.7,0.3,0.1,1.1,,0.6,523
BP_426803,,,,,,,,,,10 g,11,0.4,0.6,0.1,0,1,,1,409
BP_426813,,,,,,,,,,5ml,3,0.3,0,0,0,0.6,0.06,0.4,337
BP_426817,202,24.2,11.5,1.5,0,0.3,,0.2,400,,,,,,,,,,
BP_426841,148,0,0,0,0,35.4,0,2.8,1170,17g,25,0,0,0,0,6,0,0.5,199
BP_427605,400,0,0,0,0,99.9,,95.4,0,,,,,,,,,,
BP_427606,399,0,0,0,0,99.7,,97.2,0,,,,,,,,,,
BP_427729,280,9,12,6,0,34,1,11,700,,,,,,,,,,
BP_427739,,,,,,,,,,100ml,31,0,0,0,0,7.7,,7.7,90
BP_427750,40,0.3,0,0,0,9.6,0,8.3,50,,,,,,,,,,
BP_427751,40,0.3,0,0,0,9.6,0,8.3,50,,,,,,,,,,
BP_428316,,,,,,,,,,60ml,210,0,0,0,0,53,,53,1
BP_428336,,,,,,,,,,15ml,120,0,14,3,0.1,0,0,0,0
BP_428346,25.4,0,0,0,0,6.26,0,3.45,19,250ml,60,0,0,0,0,15.7,0,8.63,48
BP_428788,,,,,,,,,,10 g,17,0.2,0,0,0,4.1,,2.6,386
BP_429234,128,8.8,3.4,0.29,0.19,15.3,,15,1000,,,,,,,,,,
BP_429352,65,0,0,0,0,14.5,,14,200,,,,,,,,,,
BP_429490,53,1.1,2.5,0.4,0,6.1,,0.5,563,,,,,,,,,,
BP_429521,,,,,,,,,,26 g,106,0,2.4,1.6,0,22.7,1.6,11.3,37
BP_429575,42,0,0,0,0,0,0,0,0,,,,,,,,,,
BP_429984,24,0,0,0,0,0,,0,0,,,,,,,,,,
BP_430101,22,0,0,0,0,5.6,,5.5,0,,,,,,,,,,
BP_430103,29,0,0,0,0,7.3,,7.3,7,,,,,,,,,,
BP_430122,22,1,0,0,0,4.4,1.1,3.3,9,,,,,,,,,,
BP_430124,38,0.2,0,0,0,9.3,0,7.9,22,,,,,,,,,,
BP_430125,38,0.2,0,0,0,9.3,0,7.9,22,,,,,,,,,,
BP_430352,,,,,,,,,,69g,325,6.1,15,7.4,0,41.3,,4.2,1110
BP_431900,,,,,,,,,,90 g,292,10,6,1,0,59,0.8,1.2,1591
BP_432191,0,0,0,0,0,0,,0,0.65,,,,,,,,,,
BP_433032,51,0.1,0,0,0,12.7,,12.7,0,,,,,,,,,,
BP_433352,0,0,0,0,0,0,,0,0.2,,,,,,,,,,
BP_433699,0,0,0,0,0,0,,0,30,,,,,,,,,,
BP_43396,668,16,56.4,12,0,24.2,7.2,0.8,64,,,,,,,,,,
BP_434621,355,13,1.7,0.57,0,72,,2.37,0.53,,,,,,,,,,
BP_434622,365,9,1.9,0.6,0,78,,1,0,,,,,,,,,,
BP_434635,245,4.2,2.7,0.6,0,51,,27,1830,30 g,,,,,,,,,
BP_434638,175,3.5,0.7,0,0,40,,27.8,2395,,,,,,,,,,
BP_434639,154,3,0,0,0,36,,33,1707,,,,,,,,,,
BP_434640,161,2,0,0,0,38,,36,1866,,,,,,,,,,
BP_434674,,,,,,,,,,5 ml,12,0.1,0,0,0,3,,1.2,196
BP_434675,83,0.6,4.8,2,0,9.3,0,1.4,392,127g,105,0.8,6.1,2.5,0,11.8,0,1.8,498
BP_434679,,,,,,,,,,5ml,6,0.5,0,0,0,0.7,,0.6,317
BP_434694,284,7.2,4.5,0.4,0.1,52,1.9,1.5,920,,,,,,,,,,
BP_434696,,,,,,,,,,15ml,12,1.7,0,0,0,1.3,,1.1,1226
BP_434697,,,,,,,,,,15ml,17,2.2,0,0,0,1.9,0,1.6,1472
BP_434698,,,,,,,,,,3.5g,10,0,0,0,0,1.4,0,0.5,252
BP_434699,348,1.7,32.5,5.5,0.9,13.2,0,11.5,1049,,,,,,,,,,
BP_434729,,,,,,,,,,32g,40,3,3.5,2,0,,,0,20
BP_434943,331,7.2,2.6,0.8,0,76,6.3,0.5,0,,,,,,,,,,
BP_435302,180,23,10,1.5,0,0,,0,500,,,,,,,,,,
BP_435413,100,23,1,0,0,0,,0,390,,,,,,,,,,
BP_435490,,,,,,,,,,,,,,,,,,,
BP_435491,,,,,,,,,,,,,,,,,,,
BP_435920,103,0.9,10,2.1,0,6.1,3,0,880,,,,,,,,,,
BP_435931,141,14.8,6,2.4,0.7,6.9,,1.7,702,,,,,,,,,,
BP_436159,510,6.3,25,15,0,66,0,31.2,219,,,,,,,,,,
BP_437252,210,2.7,20,13,0.7,4,0,4,40,20 ml,42,0.5,4,2.6,0.1,0.8,0,0.8,8
BP_437380,184,15.5,11.9,3.7,0,4.5,0.9,0.7,633,,,,,,,,,,
BP_437381,184,15.5,11.9,3.7,0,4.5,0.9,0.7,633,,,,,,,,,,
BP_437382,184,15.5,11.9,3.7,0,4.5,0.9,0.7,633,,,,,,,,,,
BP_437662,,,,,,,,,,15ml,120,0,14,2,0.1,0,0,0,0
BP_437663,,,,,,,,,,15ml,120,0,14,2,0.1,0,0,0,0
BP_437933,,,,,,,,,,15ml,21,0.1,0,0,0,5.2,0,4.4,889
BP_438099,617,18.9,31.3,4.9,0,65,,21.4,2545,,,,,,,,,,
BP_438364,63,1.7,2.6,0.4,0,7.9,,1.5,699,,,,,,,,,,
BP_438368,464,16.2,16.6,1.5,0,62.5,10.8,12.3,561,,,,,,,,,,
BP_438383,744,0.6,82,52,2.9,0.6,0,0.6,0.05,,,,,,,,,,
BP_438907,,,,,,,,,,10g,74,0.06,8.11,4.9,0,0.06,,0.06,72
BP_439599,360,11,3,0,0,72,9,0,0,1g,,,,,,,,,
BP_440049,354,5,1.2,0.8,0,76,,2.5,11.7,,,,,,,,,,
BP_440375,,,,,,,,,,15g,45,0,2,0,0,8,0,0,5
BP_440418,,,,,,,,,,100 g,460,9.5,16,8,0,68,1.8,4,1790
BP_440601,423,9.3,20.1,3,0,53,2.2,28.5,381,,,,,,,,,,
BP_440615,27,0,0,0,0,6.7,,6.1,7,,,,,,,,,,
BP_440937,24,0,0,0,0,0,,0,0,,,,,,,,,,
BP_441021,,,,,,,,,,149g,140,3,10,4.5,0,8,0,3,540
BP_441670,19,0.8,0.1,0.1,0,3.3,,2.7,245,,,,,,,,,,
BP_442441,65,0,0,0,0,16.7,1.2,15.4,0,,,,,,,,,,
BP_442442,70,0,0,0,0,17.7,1.1,16.4,0,,,,,,,,,,
BP_442443,70,0,0,0,0,17.7,1.1,16.4,0,,,,,,,,,,
BP_442444,245,8.7,19.1,5.8,0,9.5,0,5.8,587,,,,,,,,,,
BP_442445,245,8.7,19.1,5.8,0,9.5,0,5.8,587,,,,,,,,,,
BP_443258,,,,,,,,,,,,,,,,,,,
BP_443282,,,,,,,,,,43 g,153,3.8,3,1.5,0,27.6,,2.7,750
BP_443289,,,,,,,,,,56 g,249,4,11.8,5.9,0,31.7,,3.2,965
BP_444690,,,,,,,,,,125ml,81,0,0,0,0,20,,19,6
BP_444692,,,,,,,,,,125ml,86,0,0,0,0,21,,13,6
BP_445808,327,5.5,0,0,0,75.9,,54.3,16,,,,,,,,,,
BP_445953,33,0,0,0,0,7.9,,7.9,31,,,,,,,,,,
BP_446986,,,,,,,,,,,,,,,,,,,
BP_447095,,,,,,,,,,75g,308,7.9,11.1,7.2,0,44.1,,3.7,1815
BP_447100,291,15.4,24,10,0,3.4,,1.6,608,,,,,,,,,,
BP_447119,,,,,,,,,,1g,2,0,0.1,0.1,0,0.3,0,0.2,160
BP_447324,567,5.9,35,20.4,0,57.6,2.8,44.1,51,,,,,,,,,,
BP_447668,124,7.2,2.3,0.3,0,15,7.5,0,32,,,,,,,,,,
BP_447707,541,7.8,30.3,17.3,0.2,59.4,1.3,49.6,62,,,,,,,,,,
BP_447905,,,,,,,,,,15ml,120,0,14,2,0,0,0,0,0
BP_447910,,,,,,,,,,15ml,120,0,14,1,0,0,0,0,0
BP_448495,356,6.1,0.9,0.29,0,77.1,,0.12,1,,,,,,,,,,
BP_448557,314,10.2,5.1,0.9,0,74.8,18.1,0.7,7,25 g,79,2.6,1.3,0.2,0,18.7,4.5,0.2,2
BP_448558,392,17.6,33.8,3.2,0,38.6,34.4,1.8,83,,,,,,,,,,
BP_448560,358,9,3.1,1.1,0,73.5,1.6,0,4,,,,,,,,,,
BP_448566,356,8,3.1,0.6,0,74.1,4.3,0.5,2.5,,,,,,,,,,
BP_448569,591,25.5,54.3,2.8,0,15.4,15.3,0,50,25 g,148,6.4,13.6,0.7,0,3.9,3.8,0,13
BP_449343,,,,,,,,,,80g,292,8.6,5.3,1.8,0,52.4,,1.8,2304
BP_449599,,,,,,,,,,1.4 g,0,0,0,0,0,0,,0,540
BP_449600,,,,,,,,,,1.4 g,0,0,0,0,0,0,,0,540
BP_449829,228,10,16,4.5,0,0,,0,618,,,,,,,,,,
BP_449950,163,1.7,15.6,3.07,0,0.7,,0.5,760,,,,,,,,,,
BP_450610,30,0,0,0,0,7.4,,7.4,11,,,,,,,,,,
BP_450611,,,,,,,,,,29g,121,2,5,2.3,0.1,17,0,10,70
BP_450747,,,,,,,,,,10g,56,0.3,3.4,1.8,0,6.2,,6.1,15.8
BP_450965,23.2,0.2,0,0,0,5.6,,5,18,,,,,,,,,,
BP_451167,153,2.53,12.6,0.88,0,6.06,,4.2,2333,,,,,,,,,,
BP_451584,352,7.5,0.6,0,0,79,1.7,0,1.5,,,,,,,,,,
BP_452041,507,8.5,23.1,11.5,0.1,62.2,,28.9,162,,,,,,,,,,
BP_452113,,,,,,,,,,15ml,0,0,13.9,2.1,0.1,0,0,0,0
BP_452673,,,,,,,,,,19.1g,33,0.3,0.1,10,0,7.8,0,6.2,692
BP_453267,,,,,,,,,,10 g,1,0,0,0,0,0.3,,0.2,62
BP_453274,564,7.8,34.1,20.4,0.2,56.4,2.3,38.8,106,,,,,,,,,,
BP_45340,,,,,,,,,,22g,35,2.1,1.7,0.6,0,2.7,,1,193
BP_454041,,,,,,,,,,57 g,205,8.4,3.2,0.9,0,34.9,0.6,1.5,1135
BP_454433,45,1.3,1.8,0.4,0,4.8,2.4,4.5,260,,,,,,,,,,
BP_454942,,,,,,,,,,5 ml,6,0.4,0,0,0,0.9,,0.8,338
BP_455395,252,0,0,0,0,67,,62,0,,,,,,,,,,
BP_455880,,,,,,,,,,15ml,120,0,14,2,0.1,0,,0,0
BP_455881,349,7.8,1,0,86,77.3,,0,9,,,,,,,,,,
BP_457241,340,35,0,0,0,50,,48.6,371,28 克 g,95,9.8,0,0,0,14,,13.6,104
BP_457242,363,26.3,4.6,3.1,0,54.3,,39.4,329,35 克 g,127,9.2,1.6,1.1,0,19,,13.8,115
BP_457243,340,32.9,0,0,0,52.1,,52.1,425,28 克 g,95,9.2,0,0,0,14.6,,14.6,119
BP_457590,355,6.5,0.5,0,0,81.2,0,0,0,,,,,,,,,,
BP_457710,45,0,0,0,0,11,,10,40,240ml,,0,0,0,0,11,0,,40
BP_458246,492,4.3,21,10.1,0.1,72.8,2.5,38.4,534,20.4g,100,0.9,4.3,2.1,0,14.8,0.5,7.8,109
BP_458465,,,,,,,,,,2 g,10,0,1,0,0,0,0.4,0,20
BP_458492,352,8.1,1.6,0,0,76.5,,0,0,,,,,,,,,,
BP_458505,345,7.8,1,0.2,0,77,0.9,0.9,1,70g,242,5.5,0.7,0.1,0,53.9,0.6,0.6,1
BP_458544,,,,,,,,,,80g,272,9.8,3.1,2.3,0,53.2,2,2.7,1972
BP_458929,503,5,9.9,6.3,0.3,6.3,0.5,2.1,440,,,,,,,,,,
BP_458935,414,1.4,7.8,5,0.4,6,0,2.1,429,,,,,,,,,,
BP_459028,,,,,,,,,,,,,,,,,,,
BP_459030,,,,,,2,,,,,,,,,,,,,
BP_459111,,,,,,,,,,1g,1.6,0.14,0.01,0.01,0,0.21,0.02,0.02,239
BP_459164,,,,,,,,,,5 ml,41,0,4.6,0.6,0.03,0,,0,0
BP_459196,356,8.8,0,0.2,0,80.3,,50.5,10,,,,,,,,,,
BP_459222,,,,,,,,,,15 ml,120,0,14,13,0,0,0,0,0
BP_459246,453,5.4,24.3,7.4,2.5,54,94.3,22,131,,,,,,,,,,
BP_459311,,,,,,,,,,10 ml,20,0.3,0,0,0,4.4,,3.8,229
BP_459327,,,,,,,,,,215g,282,4.4,3.4,0,0,57.6,6,2.5,1613
BP_459431,77,1.6,3.8,0.4,0,8.8,,3.7,644,,,,,,,,,,
BP_459656,0,0,0,0,0,0,,0,0.82,,,,,,,,,,
BP_459736,157,4.9,11.7,2.7,0,8.1,,6.7,2000,,,,,,,,,,
BP_459751,110,8,2,1.2,0,15,,14,30,,,,,,,,,,
BP_459829,7,0.7,0,0,0,1.3,1.2,0,331,,,,,,,,,,
BP_459831,9,0.8,0,0,0,2.7,2.2,0,337,,,,,,,,,,
BP_459960,394,5.4,16.6,5.8,2.4,55.8,,22.1,139,,,,,,,,,,
BP_459971,,,,,,,,,,101g,434,11.3,17.3,11.2,0,58.3,,5.7,2020
BP_460723,538,11.3,32.9,13.1,0.1,49.2,,28.2,159,,,,,,,,,,
BP_460757,527,5.1,29.8,14.8,0.2,61.5,,21,256,,,,,,,,,,
BP_460850,349,8.4,3.8,1,0,70.3,6.1,0,0,,,,,,,,,,
BP_461087,365,7.7,2.7,1.1,0,77.5,1.6,1.9,2,,,,,,,,,,
BP_461088,348,9.4,2.4,1.4,0,72.2,3.9,0.4,7,,,,,,,,,,
BP_461441,16,0,0,0,0,4.1,0,4.1,23,,,,,,,,,,
BP_461502,,,,,,,,,,,,,,,,,,,
BP_462292,,,,,,,,,,45 g,161,7,1,0.4,0,31,1.3,1.3,601
BP_463096,,,,,,,,,,40g,130,2,0,0,0,30,0,23,10
BP_463171,,,,,,,,,,210 g,310,6,1.5,0.5,0,68,,0,15
BP_463181,,,,,,,,,,300 g,450,8,3,1,0,97,,0,30
BP_463203,359,10.2,1.4,0,0,76.5,,0,0,,,,,,,,,,
BP_463248,,,,,,,,,,130g,49,0,0,0,0,12.5,,10.2,76
BP_463250,,,,,,,,,,130g,49,0,0,0,0,12.5,,9.9,76
BP_463251,,,,,,,,,,130g,50,0,0,0,0,12.4,,10.7,122
BP_463619,,,,,,,,,,10 g,15,0.9,0.6,0.1,0,1.6,,1.6,445
BP_463928,393,7.1,8.9,5.4,0,71.4,3.6,7.1,2036,,,,,,,,,,
BP_464309,,,,,,,,,,120g,510,9,16,8,0,81,,5,1960
BP_464714,356,6.1,0.9,0.29,0,77.1,,0.12,1,,,,,,,,,,
BP_465154,295,1.6,0.2,0,0,70.5,,50.6,9,,,,,,,,,,
BP_465510,,,,,,,,,,106 g,44,6.7,0,0,0,4.2,,2.5,721
BP_465517,,,,,,,,,,63g,24,3.1,0,0,0,2.8,,1.3,536
BP_465620,,,,,,,,,,63 g,24,3.1,0,0,0,2.8,,1.3,536
BP_465680,306,0,0,0,0,76.4,,76.4,0,,,,,,,,,,
BP_465684,46,0.2,0.4,0,0,9.7,,9.2,0,,,,,,,,,,
BP_465720,,,,,,,,,,,,,,,,,,,
BP_466258,,,,,,,,,,75g,327,7.4,13.6,8.8,0,43.7,,4.3,1943
BP_466337,,,,,,,,,,100g,29,0,0,0,0,6,3,0,0
BP_466338,,,,,,,,,,100g,29,0,0,0,0,6,3,0,0
BP_466340,,,,,,,,,,100g,29,0,0,0,0,6,3,0,0
BP_466452,268,1.7,17.6,2.6,0,23.2,4.9,18.1,1560,15g,40,0.3,2.6,0.4,0,3.5,0.7,2.7,240
BP_466713,0,0,0,0,0,0,,0,38758,,,,,,,,,,
BP_466714,0,0,0,0,0,0,,0,38758,,,,,,,,,,
BP_466837,7,0,0,0,0,1.7,,0,0,0.8 g,0,0,0,0,0,0,,0,0
BP_466848,,,,,,,,,,5 ml,3,0.5,0,0,0,0.3,,0.2,344
BP_466851,,,,,,,,,,5 ml,5,0.2,0,0,0,0.8,,0.7,52
BP_46698,354,0,0,0,0,89.2,1.7,0,7,,,,,,,,,,
BP_467232,,,,,,,,,,127g,477,14.7,13.6,2.4,0,73.9,,4.1,1252
BP_467824,,,,,,,,,,15ml,120,0,14,1,0.1,0,0,0,0
BP_467825,,,,,,,,,,15ml,120,14,1,0,0,0,0,0,0
BP_467826,,,,,,,,,,15ml,120,14,1,0,0,0,0,0,0
BP_467851,153,3.9,8.1,1.1,0,11.2,9.4,2.1,2040,15g,23,0.6,1.2,0.2,0,1.7,1,0.3,320
BP_467858,64,12.5,0,0,0,2.5,,,9298,15ml,10,2,0,0,0,0,,0,1390
BP_467882,332,21.4,26.9,15.9,1.3,1.2,,1.2,1037,5g,17,1.1,1.3,0.8,0.1,0.1,,0.1,52
BP_468311,376,12,17.3,3.3,0,29.4,,10.3,30,,,,,,,,,,
BP_468325,319,14.1,12.9,2.1,0,19.1,,10.3,68,,,,,,,,,,
BP_469033,182,15,11.1,3.4,0,5.1,0.5,1.2,601,100 g,182,15,11.1,3.4,0,5.1,0.5,1.2,601
BP_469034,204,13.6,14.2,5.6,0,5.4,0.5,0,728,100 g,204,13.6,14.2,5.6,0,5.4,0.5,0,728
BP_470242,,,,,,,,,,12g,100,1,10,4,0,1,0,0,0
BP_470433,28,0,0,0,0,7.1,,7.1,0,,,,,,,,,,
BP_470434,15,0,0,0,0,3.8,,2.9,0,,,,,,,,,,
BP_470435,36,0,0,0,0,9,,7.4,0,,,,,,,,,,
BP_471477,,,,,,,,,,115g,504,11.8,21.3,13.8,0,66.2,,5.3,2637
BP_471493,0,0,0,0,0,0,,0,0.2,,,,,,,,,,
BP_471504,,,,,,,,,,95 g,420,7.5,18.7,0.9,0,56.6,1.2,2.4,1275
BP_471793,158,16.2,6.7,1.5,0,8.2,,8.1,704,,,,,,,,,,
BP_472069,384,4.8,19.9,10.2,0,46.3,4.9,10.8,15,60g,230,2.9,11.9,6.1,0,27.8,2.9,6.5,4
BP_472070,404,7.4,21.5,10.9,0,45.2,5.2,10.7,15,60g,242,4.4,12.9,6.5,0,27.19,3.1,6.4,4
BP_472235,63,1.6,2.1,0.3,0,8.2,,4.8,360,,,,,,,,,,
BP_472642,,,,,,,,,,60g,134,4.2,6.2,2.1,0,17.4,2,13.4,2580
BP_472828,,,,,,,,,,10g,58,1.6,5.5,0.9,0,0.5,,0.5,157
BP_472859,200,10.3,5.2,0.8,0,25.9,,11.1,4213,,,,,,,,,,
BP_472861,,,,,,,,,,15ml,43,0,0,0,0,10.8,,10.8,7.9
BP_472991,354,6.1,0.8,0.3,0,81.1,0,0,0,,,,,,,,,,
BP_472992,340,6.8,3.3,0.8,0,76.4,5.6,0.5,0,,,,,,,,,,
BP_473449,,,,,,,,,,71g,339,7.1,18,7.49,0.05,37.1,,1.5,1693
BP_474530,,,,,,,,,,,,,,,,,,,
BP_474579,,,,,,,,,,16.5g,40,0.8,2.7,0.3,0,3.4,0.4,1.5,387
BP_474585,,,,,,,,,,18g,48,0.4,3.2,0.3,0,4.6,0.3,4,484
BP_475369,473,6.9,46,6.7,0,6.1,,1.7,40,,,,,,,,,,
BP_475381,371,14,3.7,1.1,0,69,3.5,2.5,0,,,,,,,,,,
BP_475386,72,1.5,5.6,0.6,0,1.7,4.7,0.1,960,,,,,,,,,,
BP_475387,204,4.6,15,1.6,0,7.2,13,6.1,1200,,,,,,,,,,
BP_475390,824,0,91,13,0,0,,0,0,,,,,,,,,,
BP_475394,250,0.2,0,0,0,55,,0.2,0,,,,,,,,,,
BP_475395,191,1.3,20,2.5,0,0.6,6.3,0,1168,,,,,,,,,,
BP_475396,145,1.3,14.6,2.3,0,0,4,0,1340,,,,,,,,,,
BP_475403,53,0,0,0,0,0.7,0,0,49,,,,,,,,,,
BP_476755,,,,,,,,,,2 g,10,0.4,0.9,0.1,0,0.5,0,0,30
BP_476757,,,,,,,,,,2 g,10,0.4,0.8,0.1,0,0.7,0,0,25
BP_476785,354,6.5,1.1,0,0,78.4,,0,0,,,,,,,,,,
BP_476876,31,1.1,0,0,0,7.8,1.1,5.4,95,,,,,,,,,,
BP_476877,36,1.3,0,0,0,8.7,1.1,6.4,122,,,,,,,,,,
BP_476914,,,,,,,,,,20g,14.8,0,0,0,0,3.7,,3.1,14
BP_476957,320,7.12,0.12,0.12,0,72.7,,55.6,11.2,,,,,,,,,,
BP_477383,284,9.2,4.7,1.7,0,50.6,,10.6,291,50g,142,4.6,2.4,0.9,0,25.3,,5.3,146
BP_477519,48,0,0,0,0,12,,11,0,,,,,,,,,,
BP_477893,47,2.6,0,0,0,9,,9,1520,,,,,,,,,,
BP_478142,356,6.1,0.9,0.29,0,77.1,,0.12,1,,,,,,,,,,
BP_478143,356,6.1,0.9,0.29,0,77.1,,0.12,1,,,,,,,,,,
BP_478235,,,,,,,,,,5g,12,0.3,0.2,0.1,0,2.3,,0.6,795
BP_478236,,,,,,,,,,5g,12,0.3,0.2,0.1,0,2.3,,0.6,795
BP_478240,,,,,,,,,,10 g,20,0.1,0.2,0,0,4.4,,4.2,189
BP_478807,,,,,,,,,,22 g,95,1.2,2.9,1.5,0,16,1.1,4.8,240
